Dataset,DP_PPR,DP_SGD,Feature_Aware,Sigma,TopK,Accuracy,Epsilon,Accuracy_Std,Epsilon_Std
data/cora_ml,True,False,False,0.15082,8,0.56224,1.1312639491146967,0.06919215562475271,0.0
data/cora_ml,True,False,False,0.08104,8,0.56098,2.206053317942913,0.13025190056194957,0.0
data/cora_ml,True,False,False,0.05619,8,0.53064,3.263939910842594,0.1117797226691854,0.0
data/cora_ml,True,False,False,0.04326,8,0.5597599999999999,4.313994994815165,0.02121373140208956,0.0
data/cora_ml,True,False,False,0.03526,8,0.5969,5.363034437923216,0.1081240768746721,0.0
data/cora_ml,True,False,False,0.02983,8,0.52446,6.406301171609444,0.09146215829511133,8.881784197001252e-16
data/cora_ml,True,False,False,0.0259,8,0.5059,7.442893554003019,0.08801402161019573,0.0
data/cora_ml,False,True,False,,2,0.55666,0.0,0.06754896298241744,0.0
data/cora_ml,False,True,False,,3,0.57648,0.0,0.06298702723577294,0.0
data/cora_ml,False,True,False,,4,0.66004,0.0,0.03129502196835783,0.0
data/cora_ml,False,True,False,,5,0.5764799999999999,0.0,0.03596934250163602,0.0
data/cora_ml,False,True,False,,6,0.6,0.0,0.07757530534906067,0.0
data/cora_ml,False,True,False,,7,0.5931799999999999,0.0,0.07028457583282409,0.0
data/cora_ml,False,True,False,,8,0.55728,0.0,0.04578320215974413,0.0
data/cora_ml,True,True,False,0.15082,2,0.45759999999999995,1.1312639491146967,0.043617519415941115,0.0
data/cora_ml,True,True,False,0.08104,2,0.44088000000000005,2.206053317942913,0.06830705380851967,0.0
data/cora_ml,True,True,False,0.05619,2,0.43032000000000004,3.263939910842594,0.05503255036794134,0.0
data/cora_ml,True,True,False,0.04326,2,0.42474000000000006,4.313994994815165,0.05038656963914095,0.0
data/cora_ml,True,True,False,0.03526,2,0.44272,5.363034437923216,0.05792620823081725,0.0
data/cora_ml,True,True,False,0.02983,2,0.48174,6.406301171609444,0.07219935179764427,8.881784197001252e-16
data/cora_ml,True,True,False,0.0259,2,0.46686000000000005,7.442893554003019,0.0917477541959475,0.0
data/cora_ml,True,True,False,0.15082,3,0.43902,1.1312639491146967,0.0289369936240792,0.0
data/cora_ml,True,True,False,0.08104,3,0.38266000000000006,2.206053317942913,0.03665201767979494,0.0
data/cora_ml,True,True,False,0.05619,3,0.42908,3.263939910842594,0.04805602563675026,0.0
data/cora_ml,True,True,False,0.04326,3,0.48854,4.313994994815165,0.06813547093841796,0.0
data/cora_ml,True,True,False,0.03526,3,0.50278,5.363034437923216,0.07630306415865618,0.0
data/cora_ml,True,True,False,0.02983,3,0.41424000000000005,6.406301171609444,0.04524650704750587,8.881784197001252e-16
data/cora_ml,True,True,False,0.0259,3,0.42910000000000004,7.442893554003019,0.05941558718046973,0.0
